Transaction_ID,Date,Customer_ID,Customer_Age,Customer_Gender,Loyalty_Status,Category,Product_Name,Unit_Cost,Unit_Price,Quantity_Sold,Revenue,Total_Cost,Profit,Stock_Remaining,Satisfaction_Score
TXN-11769,2025-01-01,CUST-0152,32,Male,Silver,Home & Garden,Bed Sheets,41.27,74.29,2,148.58,82.54,66.04,1710,4.0
TXN-10970,2025-01-01,CUST-0414,41,Male,Regular,Clothing,T-Shirt,49.29,89.1,1,89.1,49.29,39.81,642,4.5
TXN-11632,2025-01-01,CUST-0281,34,Female,Regular,Clothing,Hat,3.72,6.93,1,6.93,3.72,3.21,686,3.9
TXN-12289,2025-01-01,CUST-0912,27,Male,Silver,Beauty & Health,Face Wash,9.13,14.22,5,71.1,45.65,25.45,1262,6.4
TXN-13338,2025-01-01,CUST-0739,36,Male,Regular,Home & Garden,Plant Pot,34.48,43.76,2,87.52,68.96,18.56,1562,4.5
TXN-13149,2025-01-01,CUST-0358,29,Female,Regular,Groceries,Eggs,28.33,56.24,1,56.24,28.33,27.91,1472,5.4
TXN-12140,2025-01-01,CUST-0720,51,Female,Silver,Groceries,Pasta,47.29,56.99,4,227.96,189.16,38.8,1158,8.0
TXN-11114,2025-01-01,CUST-0375,30,Female,Silver,Home & Garden,Mug,5.57,9.8,3,29.4,16.71,12.69,819,6.7
TXN-11634,2025-01-01,CUST-0331,43,Female,Regular,Groceries,Milk,32.13,59.75,4,239.0,128.52,110.48,1101,5.2
TXN-11833,2025-01-01,CUST-0809,39,Male,Regular,Home & Garden,Plant Pot,34.48,43.76,1,43.76,34.48,9.28,1685,4.1
TXN-14828,2025-01-01,CUST-0744,31,Female,Silver,Groceries,Pasta,47.29,56.99,1,56.99,47.29,9.7,1011,6.0
TXN-12877,2025-01-01,CUST-0764,62,Male,Regular,Beauty & Health,Face Wash,9.13,14.22,2,28.44,18.26,10.18,1204,3.8
TXN-14257,2025-01-01,CUST-0467,40,Female,Gold,Clothing,Jacket,3.47,6.87,5,34.35,17.35,17.0,1174,9.3
TXN-11296,2025-01-01,CUST-0640,29,Male,Silver,Electronics,Smartwatch,34.96,50.62,10,506.2,349.6,156.6,913,6.9
TXN-11283,2025-01-01,CUST-0939,23,Male,Silver,Groceries,Pasta,47.29,56.99,2,113.98,94.58,19.4,1209,3.9
TXN-10734,2025-01-01,CUST-0154,25,Male,Regular,Groceries,Bread,45.02,60.28,1,60.28,45.02,15.26,954,6.3
TXN-10113,2025-01-01,CUST-0474,29,Male,Regular,Groceries,Cereal,40.44,66.69,2,133.38,80.88,52.5,768,7.2
TXN-12645,2025-01-01,CUST-0526,19,Other,Regular,Electronics,Charger,85.78,132.44,1,132.44,85.78,46.66,585,4.2
TXN-12734,2025-01-02,CUST-0344,27,Female,Silver,Beauty & Health,Shampoo,25.11,45.77,4,183.08,100.44,82.64,856,8.9
TXN-13941,2025-01-02,CUST-0084,43,Male,Regular,Home & Garden,Plant Pot,34.48,43.76,1,43.76,34.48,9.28,1519,4.4
TXN-13386,2025-01-02,CUST-0197,27,Male,Regular,Groceries,Rice,16.47,23.64,1,23.64,16.47,7.17,245,4.2
TXN-11953,2025-01-02,CUST-0599,35,Female,Regular,Electronics,Charger,85.78,132.44,5,662.2,428.9,233.3,626,7.5
TXN-10443,2025-01-02,CUST-0318,21,Female,Regular,Clothing,Socks,46.78,72.77,1,72.77,46.78,25.99,1274,5.1
TXN-10966,2025-01-02,CUST-0304,32,Female,Silver,Clothing,Socks,46.78,72.77,3,218.31,140.34,77.97,1240,5.5
TXN-14796,2025-01-02,CUST-0149,45,Male,Silver,Electronics,Keyboard,107.66,156.53,2,313.06,215.32,97.74,518,5.2
TXN-11621,2025-01-02,CUST-0634,18,Male,Regular,Clothing,Jeans,45.05,74.05,1,74.05,45.05,29.0,1597,3.7
TXN-10753,2025-01-02,CUST-0593,37,Male,Gold,Electronics,Keyboard,107.66,156.53,2,313.06,215.32,97.74,821,8.5
TXN-12385,2025-01-02,CUST-0517,24,Male,Silver,Groceries,Cereal,40.44,66.69,1,66.69,40.44,26.25,605,5.1
TXN-13490,2025-01-02,CUST-0655,41,Female,Regular,Electronics,Charger,85.78,132.44,4,529.76,343.12,186.64,517,6.9
TXN-12369,2025-01-02,CUST-0276,35,Male,Regular,Clothing,Sneakers,20.09,39.7,4,158.8,80.36,78.44,622,7.3
TXN-10503,2025-01-02,CUST-0326,49,Male,Silver,Groceries,Apples,18.31,24.59,2,49.18,36.62,12.56,1728,6.2
TXN-12813,2025-01-02,CUST-0845,19,Other,Silver,Electronics,Mouse,41.17,78.14,1,78.14,41.17,36.97,1110,6.8
TXN-14698,2025-01-02,CUST-0840,51,Male,Silver,Groceries,Apples,18.31,24.59,1,24.59,18.31,6.28,1399,5.8
TXN-11722,2025-01-02,CUST-0231,18,Female,Regular,Clothing,Jacket,3.47,6.87,1,6.87,3.47,3.4,1394,8.4
TXN-14024,2025-01-03,CUST-0591,52,Female,Regular,Groceries,Milk,32.13,59.75,1,59.75,32.13,27.62,950,5.4
TXN-11579,2025-01-03,CUST-0500,29,Female,Regular,Home & Garden,Plant Pot,34.48,43.76,1,43.76,34.48,9.28,1695,4.7
TXN-14080,2025-01-03,CUST-0033,52,Female,Silver,Clothing,Sneakers,20.09,39.7,2,79.4,40.18,39.22,518,6.8
TXN-10440,2025-01-03,CUST-0675,24,Female,Silver,Beauty & Health,Soap,11.95,23.02,1,23.02,11.95,11.07,1077,7.4
TXN-12952,2025-01-03,CUST-0810,29,Male,Regular,Beauty & Health,Face Wash,9.13,14.22,1,14.22,9.13,5.09,1196,6.3
TXN-12689,2025-01-03,CUST-0980,18,Female,Regular,Electronics,Headphones,49.93,84.43,3,253.29,149.79,103.5,1158,8.1
TXN-10388,2025-01-03,CUST-0422,31,Male,Regular,Home & Garden,Frying Pan,11.59,15.48,1,15.48,11.59,3.89,1830,4.7
TXN-13521,2025-01-03,CUST-0947,34,Female,Regular,Beauty & Health,Toothpaste,36.38,71.18,1,71.18,36.38,34.8,578,3.2
TXN-14090,2025-01-03,CUST-0960,18,Female,Silver,Groceries,Rice,16.47,23.64,1,23.64,16.47,7.17,189,4.9
TXN-13115,2025-01-03,CUST-0881,36,Male,Regular,Clothing,T-Shirt,49.29,89.1,1,89.1,49.29,39.81,470,5.0
TXN-11471,2025-01-04,CUST-0537,26,Male,Silver,Electronics,Smartwatch,34.96,50.62,5,253.1,174.8,78.3,885,4.6
TXN-12110,2025-01-04,CUST-0407,18,Female,Regular,Groceries,Milk,32.13,59.75,3,179.25,96.39,82.86,1072,6.3
TXN-11390,2025-01-04,CUST-0164,30,Female,Regular,Electronics,USB Drive,123.53,158.32,2,316.64,247.06,69.58,1654,6.2
TXN-12019,2025-01-04,CUST-0289,42,Female,Silver,Groceries,Chicken,14.09,25.57,4,102.28,56.36,45.92,1817,6.8
TXN-12728,2025-01-04,CUST-0918,40,Male,Regular,Electronics,Keyboard,107.66,156.53,2,313.06,215.32,97.74,696,3.9
TXN-10412,2025-01-04,CUST-0239,22,Female,Gold,Electronics,Smartwatch,34.96,50.62,1,50.62,34.96,15.66,984,6.3
TXN-13131,2025-01-04,CUST-0684,18,Male,Gold,Groceries,Cereal,40.44,66.69,1,66.69,40.44,26.25,523,7.9
TXN-12210,2025-01-04,CUST-0789,18,Female,Silver,Home & Garden,Lamp,30.34,59.03,10,590.3,303.4,286.9,804,6.1
TXN-10670,2025-01-04,CUST-0855,28,Male,Regular,Electronics,Headphones,49.93,84.43,2,168.86,99.86,69.0,1297,6.0
TXN-14643,2025-01-04,CUST-0264,26,Male,Regular,Beauty & Health,Vitamins,4.16,7.52,4,30.08,16.64,13.44,989,6.9
TXN-13933,2025-01-04,CUST-0381,42,Male,Regular,Home & Garden,Plant Pot,34.48,43.76,2,87.52,68.96,18.56,1520,4.2
TXN-12977,2025-01-04,CUST-0969,40,Male,Regular,Electronics,Headphones,49.93,84.43,3,253.29,149.79,103.5,1135,4.7
TXN-12854,2025-01-04,CUST-0492,33,Female,Regular,Home & Garden,Frying Pan,11.59,15.48,4,61.92,46.36,15.56,1665,4.6
TXN-11797,2025-01-05,CUST-0529,32,Male,Gold,Beauty & Health,Vitamins,4.16,7.52,1,7.52,4.16,3.36,1214,6.8
TXN-11329,2025-01-05,CUST-0165,57,Other,Regular,Groceries,Apples,18.31,24.59,1,24.59,18.31,6.28,1649,6.7
TXN-12367,2025-01-05,CUST-0683,18,Female,Silver,Clothing,T-Shirt,49.29,89.1,1,89.1,49.29,39.81,527,5.4
TXN-11736,2025-01-05,CUST-0394,25,Female,Regular,Groceries,Eggs,28.33,56.24,1,56.24,28.33,27.91,1582,6.6
TXN-13330,2025-01-05,CUST-0087,27,Male,Regular,Clothing,Jacket,3.47,6.87,3,20.61,10.41,10.2,1251,4.4
TXN-14978,2025-01-05,CUST-0241,48,Female,Silver,Groceries,Eggs,28.33,56.24,1,56.24,28.33,27.91,1335,7.8
TXN-13879,2025-01-06,CUST-0795,18,Female,Silver,Beauty & Health,Toothpaste,36.38,71.18,1,71.18,36.38,34.8,562,4.6
TXN-10620,2025-01-06,CUST-0554,20,Other,Silver,Electronics,Mouse,41.17,78.14,1,78.14,41.17,36.97,1263,6.0
TXN-11658,2025-01-06,CUST-0678,24,Male,Regular,Groceries,Rice,16.47,23.64,1,23.64,16.47,7.17,373,5.5
TXN-11142,2025-01-06,CUST-0809,46,Female,Silver,Groceries,Eggs,28.33,56.24,1,56.24,28.33,27.91,1615,6.0
TXN-14428,2025-01-06,CUST-0354,40,Male,Regular,Home & Garden,Lamp,30.34,59.03,2,118.06,60.68,57.38,612,5.5
TXN-11901,2025-01-06,CUST-0420,44,Female,Regular,Home & Garden,Lamp,30.34,59.03,1,59.03,30.34,28.69,840,5.7
TXN-10294,2025-01-06,CUST-0057,34,Male,Silver,Electronics,Smartwatch,34.96,50.62,4,202.48,139.84,62.64,987,9.8
TXN-13318,2025-01-06,CUST-0904,38,Other,Regular,Home & Garden,Bed Sheets,41.27,74.29,5,371.45,206.35,165.1,1579,6.0
TXN-11263,2025-01-06,CUST-0546,51,Male,Gold,Groceries,Cereal,40.44,66.69,1,66.69,40.44,26.25,668,6.2
TXN-10913,2025-01-06,CUST-0987,31,Male,Regular,Groceries,Apples,18.31,24.59,3,73.77,54.93,18.84,1690,5.3
TXN-12993,2025-01-06,CUST-0596,51,Female,Regular,Beauty & Health,Shampoo,25.11,45.77,3,137.31,75.33,61.98,838,7.1
TXN-12187,2025-01-06,CUST-0888,28,Female,Regular,Groceries,Milk,32.13,59.75,3,179.25,96.39,82.86,1058,6.4
TXN-12428,2025-01-06,CUST-0600,18,Female,Regular,Groceries,Chicken,14.09,25.57,1,25.57,14.09,11.48,1794,6.9
TXN-12179,2025-01-06,CUST-0222,33,Female,Regular,Groceries,Chicken,14.09,25.57,1,25.57,14.09,11.48,1812,5.4
TXN-12243,2025-01-06,CUST-0756,44,Male,Gold,Groceries,Pasta,47.29,56.99,2,113.98,94.58,19.4,1155,9.0
TXN-13088,2025-01-06,CUST-0174,18,Male,Regular,Groceries,Pasta,47.29,56.99,2,113.98,94.58,19.4,1110,7.0
